numero,client_reference,claim_number,liquidation_number,estado,disabled,fecha_creacion
93,202605840,226015459,L-000001570,Liquidación,no,2026-08-25T13:09:43.724975+00:00
94,202605843,226015483,L-000001571,Liquidación,no,2026-08-25T13:09:46.156893+00:00
95,202605885,226015444,L-000001572,Liquidación,no,2026-08-25T13:09:48.675498+00:00
96,202605923,454070,L-000001573,Liquidación,no,2026-08-25T13:09:52.018919+00:00
97,202605925,454072,L-000001574,Liquidación,no,2026-08-25T13:09:55.286698+00:00
98,202605936,454079,L-000001575,Liquidación,no,2026-08-25T13:09:58.532441+00:00
99,202605950,454083,L-000001576,Liquidación,no,2026-08-25T13:10:01.778368+00:00
100,202606025,454202,L-000001577,Liquidación,no,2026-08-25T13:10:05.029098+00:00
101,202606029,454255,L-000001591,Liquidación,no,2026-08-25T13:10:46.195756+00:00
102,202606030,454267,L-000001592,Liquidación,no,2026-08-25T13:10:49.45902+00:00
103,202606031,454276,L-000001593,Liquidación,no,2026-08-25T13:10:52.775391+00:00
104,202606096,226015653,L-000001594,Liquidación,no,2026-08-25T13:10:55.18086+00:00
105,202606130,226015671,L-000001595,Liquidación,no,2026-08-25T13:10:57.556383+00:00
106,202602937,450130,L-000001698,Liquidación,no,2026-08-25T13:15:56.112066+00:00
107,202602630,10811586,L-000001701,Liquidación,no,2026-08-25T13:16:04.372317+00:00
108,202602983,450206,L-000001702,Liquidación,no,2026-08-25T13:16:07.548148+00:00
